facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21050001,Littlefield Recreation Area Beach,06/02/2004 11:45:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,73,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,06/16/2004 10:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,320,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,07/06/2004 13:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,07/13/2004 13:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,30,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,08/17/2004 11:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,06/06/2006 08:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,07/05/2005 11:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,150,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,07/27/2005 09:15:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,08/03/2005 13:30:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,21050001,Littlefield Recreation Area Beach,08/23/2005 13:00:00,BEACHCCO,68583-22-2,Escherichia coli,Total,,20,MPN/100ml,True,10,,,1603,BEA002,Actual,SW,Water,,,Audubon,10240003,Lake,,41.558139,-94.786455
6,22050001,Littlefield Lake (maximum water depth),05/30/2006 09:20:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,10,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,10.5,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,3.9,m,True,,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.31,m,True,0.01,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,25.3,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,200,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,PH,pH,Total,,9,None,True,,,,4500-H,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.14,mg/l,True,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,ALK-TOT,"Alkalinity, total",Total,,130,mg/l CaCO3,True,1,,,2320,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,28,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,TURB,Turbidity,Total,,71.6,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,1.7,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/10/2006 10:05:00,AMBLAKE-SHL,7440-44-0,Carbon,Total,,19,mg/l,True,0.5,,,415.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/14/2006 09:35:00,AMBLAKE-SHL,TURB,Turbidity,Total,,86.3,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/14/2006 09:35:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.05,mg/l,False,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/14/2006 09:35:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,200,uS/cm,True,1,,,2510,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/14/2006 09:35:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,36,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/14/2006 09:35:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.5,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,PH,pH,Total,,7.8,None,True,,,,4500-H,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,200,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.13,mg/l,True,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,2.5,mg/l,True,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,ALK-TOT,"Alkalinity, total",Total,,150,mg/l CaCO3,True,1,,,2320,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,TURB,Turbidity,Total,,26.7,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,6,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,4,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,7631-86-9,Silica,Dissolved,,15,mg/l,True,1,,,370.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,1,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,7440-44-0,Carbon,Total,,5.9,mg/l,True,0.5,,,415.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,10,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,270,uS/cm,True,1,,,2510,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,17,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.16,mg/l,True,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),09/26/2006 10:00:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.23,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),04/23/2007 09:30:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,8.9,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),04/23/2007 09:30:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,4.2,m,True,,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),04/23/2007 09:30:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.5,m,True,0.01,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),04/23/2007 09:30:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,15,deg C,True,0,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,TURB,Turbidity,Total,,64.8,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.05,mg/l,False,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,37,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,11,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,27,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,38,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,7440-44-0,Carbon,Total,,6.8,mg/l,True,0.5,,,5310-B,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,210,uS/cm,True,1,,,2510,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/09/2007 09:55:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.17,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),05/12/2008 09:10:00,AMBLAKE-SHL,TURB,Turbidity,Total,,51,NTU,True,,,,180.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),05/12/2008 09:10:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,22,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),05/12/2008 09:10:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,10,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,12,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.17,mg/l,True,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,TURB,Turbidity,Total,,20,NTU,True,,,,180.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,2.5,mg/l,True,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,5,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,4,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.02,mg/l,False,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,ALK-TOT,"Alkalinity, total",Total,,140,mg/l CaCO3,True,1,,,2320,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,330,umho/cm,True,,,,2510,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,210,mg/l,True,,,,160.1,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,1,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/07/2008 10:15:00,AMBLAKE-SHL,7631-86-9,Silica,Dissolved,,3.1,mg/l,True,1,,,4500-SI(D),UHLLAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,DEPTH-BOTTOM,"Depth, bottom",Total,,4.4,m,True,,,,Unknown,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.68,m,True,,,,ISU SECCHI,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,7782-44-7,Dissolved oxygen (DO),Total,,7.7,mg/l,True,,,,ISU 4500-O-G,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,DO-SAT,Dissolved oxygen saturation,Total,,88,%,True,,,,ISU 4500-O-G,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,PH,pH,Total,,8.8,None,True,,,,ISU 4500-H,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,SPEC-COND,Specific conductance,Total,,296,uS/cm,True,,,,ISU 2510,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,TEMP-WATER,"Temperature, water",Total,,22.2,deg C,True,,,,ISU 2550,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,TURB,Turbidity,Total,,46,NTU,True,,,,ISU 2130-B,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,ALK-TOT,"Alkalinity, total",Total,,148,mg/l CaCO3,True,2,,,2320,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,,29.9,ug/l,True,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.16,mg/l,True,0.12,,,SEC_DERIV_UV,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,NIT-NUTRIENT,Nutrient-nitrogen,Total,,1.65,mg/l,True,0.28,,,SEC_DERIV_UV,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,TFSS,Fixed suspended solids,NonFilt,,11,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,TSS,Total suspended solids,NonFilt,,22,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),06/22/2000 00:00:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,11,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,PH,pH,Total,,8.2,None,True,,,,ISU 4500-H,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,SPEC-COND,Specific conductance,Total,,254,uS/cm,True,,,,ISU 2510,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,TEMP-WATER,"Temperature, water",Total,,25.9,deg C,True,,,,ISU 2550,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,TURB,Turbidity,Total,,15,NTU,True,,,,ISU 2130-B,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,ALK-TOT,"Alkalinity, total",Total,,123,mg/l CaCO3,True,2,,,2320,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,,12.2,ug/l,True,1,,,10200-H,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.79,mg/l,True,0.12,,,SEC_DERIV_UV,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,NIT-NUTRIENT,Nutrient-nitrogen,Total,,2.2,mg/l,True,0.28,,,SEC_DERIV_UV,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,TFSS,Fixed suspended solids,NonFilt,,5,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,TSS,Total suspended solids,NonFilt,,9,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),07/18/2000 00:00:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,5,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/09/2000 11:30:00,AMBLAKE-ISU,TFSS,Fixed suspended solids,NonFilt,,6,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/09/2000 11:30:00,AMBLAKE-ISU,TSS,Total suspended solids,NonFilt,,13,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),08/09/2000 11:30:00,AMBLAKE-ISU,TVSS,Volatile Suspended Solids,NonFilt,,7,mg/l,True,1,,,2540-E,ISULAKE,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
6,22050001,Littlefield Lake (maximum water depth),05/23/2001 00:00:00,AMBLAKE-ISU,7782-44-7,Dissolved oxygen (DO),Total,,10.9,mg/l,True,,,,ISU 4500-O-G,,Actual,SW,Water,,,Audubon,10240003,Lake,,41.559414,-94.786286
