facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,7782-44-7,Dissolved oxygen (DO),Total,,10.4,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,FLOW,Flow,Total,,560,cfs,True,0.1,,,USGS CA8,,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,PH,pH,Total,,8.2,None,True,,,,4500-H,,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,TEMP-WATER,"Temperature, water",Total,,11,deg C,True,0,,,2550,,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,120-36-5,Dichlorprop,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,133-90-4,Chloramben,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1689-84-5,Bromoxynil,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1861-32-1,Chlorthal-dimethyl,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1918-00-9,Dicamba,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1918-02-01,Picloram,Total,,0.45,ug/l,True,0.4,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,25057-89-0,Bentazon,Total,,0.5,ug/l,False,0.5,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,50594-66-6,Acifluorfen,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,55335-06-3,Triclopyr,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,88-85-7,Dinoseb,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,93-72-1,Silvex,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,93-76-5,"2,4,5-T",Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,94-75-7,"2,4-D",Total,,0.43,ug/l,True,0.4,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,94-82-6,"2,4-DB",Total,,0.4,ug/l,False,0.4,,,515.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,121-75-5,Malathion,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,122-34-9,Simazine,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,13071-79-9,Terbufos,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,13194-48-4,Ethoprop,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,139-40-2,Propazine,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1563-66-2,Carbofuran,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1582-09-8,Trifluralin,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,15972-60-8,Alachlor,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1610-18-0,Prometon,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1912-24-9,Atrazine,Total,,1,ug/l,True,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1918-16-7,Propachlor,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,2008-41-5,Butylate,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,21087-64-9,Metribuzin,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,21725-46-2,Cyanazine,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,2303-17-5,Triallate,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,23184-66-9,Butachlor,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,25311-71-1,Isofenphos,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,2921-88-2,Chlorpyrifos,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,298-00-0,Methyl parathion,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,298-02-2,Phorate,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,298-04-4,Disulfoton,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,314-40-9,Bromacil,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,333-41-5,Diazinon,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,34256-82-1,Acetochlor,Total,,0.76,ug/l,True,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,40487-42-1,Pendimethalin,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,51218-45-2,Metolachlor,Total,,0.22,ug/l,True,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,56-38-2,Parathion,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,60-51-5,Dimethoate,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,6190-65-4,2-Chloro-4-isopropylamino-6-amino-s-triazine,Total,,0.061,ug/l,True,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,62-73-7,Dichlorvos,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,63-25-2,Carbaryl,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,759-94-4,S-Ethyl dipropylthiocarbamate,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,81777-89-1,Clomazone,Total,,0.3,ug/l,False,0.3,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,834-12-8,Ametryn,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,87674-68-8,Dimethenamid,Total,,0.12,ug/l,True,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,944-22-9,Fonofos,Total,,0.05,ug/l,False,0.05,,,507,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1024-57-3,Heptachlor epoxide,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,1031-07-8,Endosulfan sulfate,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,309-00-2,Aldrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,319-84-6,.alpha.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,319-85-7,.beta.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,319-86-8,.delta.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,33213-65-9,.beta.-Endosulfan,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,50-29-3,"p,p'-DDT",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,53494-70-5,Endrin ketone,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,57-74-9,Chlordane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,58-89-9,Lindane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,60-57-1,Dieldrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,72-20-8,Endrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,72-43-5,Methoxychlor,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,72-54-8,"p,p'-DDD",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,72-55-9,"p,p'-DDE",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,7421-93-4,Endrin aldehyde,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,76-44-8,Heptachlor,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,8001-35-2,Toxaphene,Total,,0.5,ug/l,False,0.5,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),04/29/2002 11:30:00,EVENT,959-98-8,.alpha.-Endosulfan,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,3,mg/l,True,0.1,,,353.2,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,11096-82-5,Aroclor 1260,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,11097-69-1,Aroclor 1254,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,11104-28-2,Aroclor 1221,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,11141-16-5,Aroclor 1232,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,12672-29-6,Aroclor 1248,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,12674-11-2,Aroclor 1016,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,53469-21-9,Aroclor 1242,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,603-17-8,Pheophytin a,NonFilt,,11,ug/l,True,1,,,10200H(2),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,1.2,mg/l,True,0.05,,,Unknown,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.15,mg/l,True,0.05,,,Unknown,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,7631-86-9,Silica,Dissolved,,12,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,TDS,Total dissolved solids,Dissolved,,260,mg/l,True,1,,,160.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,TSS,Total suspended solids,NonFilt,,750,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,SPEC-COND,Specific conductance,Total,,450,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,14808-79-8,Sulfate (as SO4),Total,,29,mg/l,True,1,,,300(A),UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),05/12/2002 13:00:00,EVENT,TURB,Turbidity,Total,,410,NTU,True,1,,,180.1,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,1024-57-3,Heptachlor epoxide,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,1031-07-8,Endosulfan sulfate,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,309-00-2,Aldrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,319-84-6,.alpha.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,319-85-7,.beta.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,319-86-8,.delta.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,33213-65-9,.beta.-Endosulfan,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,50-29-3,"p,p'-DDT",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,53494-70-5,Endrin ketone,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,57-74-9,Chlordane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,58-89-9,Lindane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,60-57-1,Dieldrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,72-20-8,Endrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,72-43-5,Methoxychlor,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
6,10360001,East Nishnabotna River near Shenandoah (US1),06/11/2002 12:00:00,EVENT,72-54-8,"p,p'-DDD",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Fremont,10240003,River/Stream,,40.7856731,-95.3848908
