facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,HARD-CARB,"Hardness, carbonate",Total,,330,mg/l,True,1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.1,mg/l,False,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.6,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,1.7,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,7439-97-6,Mercury,Total,,5E-05,mg/l,False,0.00005,,,245.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,603-17-8,Pheophytin a,NonFilt,,2,ug/l,True,1,,,10200H(2),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.1,mg/l,False,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,7631-86-9,Silica,Dissolved,,16,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,TDS,Total dissolved solids,Dissolved,,400,mg/l,True,1,,,160.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,TSS,Total suspended solids,NonFilt,,6,mg/l,True,1,,,I3765,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,SPEC-COND,Specific conductance,Total,,700,uS/cm,True,1,,,2510,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,01/10/2000 08:15:00,AMBIENT,TURB,Turbidity,Total,,3.9,NTU,True,1,,,180.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,9.2,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,FLOW,Flow,Total,,63,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,PH,pH,Total,,8,None,True,,,,4500-H,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,TEMP-WATER,"Temperature, water",Total,,0,deg C,True,0,,,2550,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,9213-D,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,True,10,,,9222-D,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,HARD-CARB,"Hardness, carbonate",Total,,340,mg/l,True,1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.2,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,1.8,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.1,mg/l,False,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,603-17-8,Pheophytin a,NonFilt,,1,ug/l,True,1,,,10200H(2),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,02/08/2000 08:40:00,AMBIENT,7631-86-9,Silica,Dissolved,,20,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1918-00-9,Dicamba,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1918-02-01,Picloram,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,25057-89-0,Bentazon,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,93-72-1,Silvex,Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,94-75-7,"2,4-D",Total,,0.2,ug/l,False,0.2,,,515.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,122-34-9,Simazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,13071-79-9,Terbufos,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,13194-48-4,Ethoprop,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1563-66-2,Carbofuran,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1582-09-8,Trifluralin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,15972-60-8,Alachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1912-24-9,Atrazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,2008-41-5,Butylate,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,21087-64-9,Metribuzin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,21725-46-2,Cyanazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,2921-88-2,Chlorpyrifos,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,298-02-2,Phorate,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,34256-82-1,Acetochlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,51218-45-2,Metolachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,6190-65-4,2-Chloro-4-isopropylamino-6-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,944-22-9,Fonofos,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1024-57-3,Heptachlor epoxide,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,1031-07-8,Endosulfan sulfate,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,309-00-2,Aldrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,319-84-6,.alpha.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,319-85-7,.beta.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,319-86-8,.delta.-Hexachlorocyclohexane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,33213-65-9,.beta.-Endosulfan,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,50-29-3,"p,p'-DDT",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,53494-70-5,Endrin ketone,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,57-74-9,Chlordane,Total,,0.2,ug/l,False,0.2,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,58-89-9,Lindane,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,60-57-1,Dieldrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,72-20-8,Endrin,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,72-43-5,Methoxychlor,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,72-54-8,"p,p'-DDD",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,72-55-9,"p,p'-DDE",Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,7421-93-4,Endrin aldehyde,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,76-44-8,Heptachlor,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,8001-35-2,Toxaphene,Total,,1,ug/l,False,1,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,959-98-8,.alpha.-Endosulfan,Total,,0.05,ug/l,False,0.05,,,508,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,ENTERO,Enterococcus,Total,,550,MPN/100ml,True,10,,,9230-C,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,11096-82-5,Aroclor 1260,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,11097-69-1,Aroclor 1254,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,11104-28-2,Aroclor 1221,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,11141-16-5,Aroclor 1232,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,12672-29-6,Aroclor 1248,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,12674-11-2,Aroclor 1016,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,53469-21-9,Aroclor 1242,Total,,0.5,ug/l,False,0.5,,,8082(W),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,603-17-8,Pheophytin a,NonFilt,,4,ug/l,True,1,,,10200H(2),UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,14265-44-2,Orthophosphate (as P),Dissolved,,0.1,mg/l,False,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,10/18/1999 08:40:00,AMBIENT,7631-86-9,Silica,Dissolved,,13,mg/l,True,1,,,370.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,11003-45-5,Chlorophyll c,NonFilt,,1,ug/l,False,1,,,10200-H,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,479-61-8,Chlorophyll a,NonFilt,,10,ug/l,True,1,,,10200-H,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,519-62-0,Chlorophyll b,NonFilt,,1,ug/l,False,1,,,10200-H,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,CLR-A-UCP,"Chlorophyll a, uncorrected for pheophytin",NonFilt,,10,ug/l,True,1,,,10200-H,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,ENTERO,Enterococcus,Total,,200,MPN/100ml,True,10,,,9230-C,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,68583-22-2,Escherichia coli,Total,,90,MPN/100ml,True,10,,,9213-D,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,FEC-COL,Fecal Coliform,Total,,45,MPN/100ml,True,10,,,9222-D,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,03/13/2000 08:30:00,AMBIENT,TURB,Turbidity,Total,,4.2,NTU,True,1,,,180.1,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,12,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,FLOW,Flow,Total,,10,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,PH,pH,Total,,8.4,None,True,,,,4500-H,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,TEMP-WATER,"Temperature, water",Total,,12,deg C,True,0,,,2550,,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,122-34-9,Simazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,1582-09-8,Trifluralin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,15972-60-8,Alachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,1912-24-9,Atrazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,2008-41-5,Butylate,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,21087-64-9,Metribuzin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,21725-46-2,Cyanazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,34256-82-1,Acetochlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,51218-45-2,Metolachlor,Total,,0.21,ug/l,True,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,04/17/2000 13:15:00,AMBIENT,6190-65-4,2-Chloro-4-isopropylamino-6-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,57-12-5,Cyanide,Total,,0.01,mg/l,False,0.01,,,335.2,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,ENTERO,Enterococcus,Total,,5900,MPN/100ml,True,10,,,9230-C,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,68583-22-2,Escherichia coli,Total,,2100,MPN/100ml,True,10,,,9213-D,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,FEC-COL,Fecal Coliform,Total,,2900,MPN/100ml,True,10,,,9222-D,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,HARD-CARB,"Hardness, carbonate",Total,,250,mg/l,True,1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,NIT-KJELD,Kjeldahl nitrogen (AS N),Total,,0.6,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
6,10500001,Indian Creek near Colfax,05/08/2000 08:15:00,AMBIENT,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,0.1,mg/l,True,0.1,,,Unknown,UHL001,Actual,SW,Water,,,Jasper,07080105,River/Stream,,41.7461573,-93.2260937
