facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,21150001,Lake Anita Beach (Lake Anita State Park),09/05/2000 10:30:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),09/11/2000 11:05:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),09/11/2000 11:05:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),09/11/2000 11:05:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),09/18/2000 11:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),09/18/2000 11:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,False,10,,,9230-C,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),09/18/2000 11:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),05/21/2001 11:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,True,10,,,9222-D,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),05/21/2001 11:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,True,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),05/21/2001 11:00:00,BEACH,ENTERO,Enterococcus,Total,,40,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),05/22/2001 10:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),05/22/2001 10:00:00,BEACH,68583-22-2,Escherichia coli,Total,,10,MPN/100ml,False,10,,,APHA 9222 G,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),05/22/2001 10:00:00,BEACH,FEC-COL,Fecal Coliform,Total,,10,MPN/100ml,False,10,,,9222-D,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
6,21150001,Lake Anita Beach (Lake Anita State Park),05/29/2001 11:00:00,BEACH,ENTERO,Enterococcus,Total,,10,MPN/100ml,True,10,,,1600,BEA001,Actual,SW,Water,,,Cass,10240003,Lake,,41.4271837,-94.7795453
